"StromalScore" "ImmuneScore" "ESTIMATEScore" "TumorPurit"
"TCGA.44.A479" 898.020101193898 1888.97106135455 2786.99116254845 0.528396836392408
"TCGA.4B.A93V" -850.022210203186 305.816514789209 -544.205695413976 0.86527175138682
"TCGA.78.7633" -547.642771896971 -348.699452101945 -896.342223998916 0.890016685911054
"TCGA.NJ.A4YP" 783.520329901185 550.737805092411 1334.2581349936 0.696103296780473
"TCGA.38.4626" 1097.18099861176 1804.28082000187 2901.46181861363 0.5140572406615
"TCGA.78.7535" -147.199581707226 1126.14139554728 978.941813840049 0.732584928336898
"TCGA.55.6970" -21.4309301068741 1080.24624683684 1058.81531672996 0.724554175711936
"TCGA.55.6543" 53.7087475626434 943.709502202586 997.418249765229 0.730736157879303
"TCGA.05.4402" 275.902426715524 783.187342773147 1059.08976948867 0.724526408961874
"TCGA.55.1596" -678.831637598405 100.283774370568 -578.547863227837 0.86778783145566
"TCGA.49.4490" 131.991073367789 380.616138961805 512.607212329593 0.77742682141322
"TCGA.62.A471" -1358.52495754179 -234.252237152077 -1592.77719469387 0.931897819238546
"TCGA.86.A456" 161.460283815562 1109.74115216034 1271.2014359759 0.702718645400735
"TCGA.49.4512" 804.606343858291 876.078560880804 1680.68490473909 0.658710847323426
"TCGA.55.A48X" 106.913698516027 1386.13957653744 1493.05327505347 0.679181010318554
"TCGA.86.8278" 431.29846652649 688.30912261505 1119.60758914154 0.718375104477937
"TCGA.55.6982" 918.161544477282 1027.63426602327 1945.79581050055 0.628939873929661
"TCGA.50.5045" 1474.46215461715 2258.88816381205 3733.3503184292 0.405747569357512
"TCGA.05.4398" 397.440692252846 1414.01928756706 1811.45997981991 0.64414717591188
"TCGA.55.8513" 523.492315963655 1633.96159142023 2157.45390738388 0.604485552318556
"TCGA.MP.A4TC" 915.86348742269 1084.88559357744 2000.74908100013 0.622648145675006
"TCGA.05.4420" -348.83078156315 -213.807099303399 -562.637880866548 0.866624923857715
"TCGA.75.5146" -145.064800506722 964.435696591445 819.370896084723 0.748326089511081
"TCGA.78.7167" -711.534533621549 -419.456229258402 -1130.99076287995 0.905189528005758
"TCGA.J2.8194" 159.611090311708 594.456139888183 754.06723019989 0.754650183649747
"TCGA.97.A4M0" -317.253116520037 1414.86580981229 1097.61269329225 0.720617348207517
"TCGA.38.4632" 160.127012729987 1442.20147236721 1602.3284850972 0.667321006582631
"TCGA.44.7661" 888.895252098374 1557.30167446557 2446.19692656395 0.570188911319608
"TCGA.55.8205" 684.497445721917 2074.76263323188 2759.26007895379 0.531848379613009
"TCGA.55.A48Z" 581.051096443835 711.914261387153 1292.96535783099 0.70044214314281
"TCGA.05.5428" 193.66706995116 789.329965305809 982.997035256969 0.732179619956578
"TCGA.69.8255" -905.085678706788 1248.29630431507 343.210625608281 0.792824593362626
"TCGA.75.5125" 306.466105088286 1382.34884494985 1688.81495003813 0.657812471615551
"TCGA.55.8097" -50.7670036005546 579.022748922413 528.255745321859 0.775980005269327
"TCGA.78.7152" -198.011058338304 875.779428901603 677.768370563299 0.76195118757411
"TCGA.44.6146" -881.74089156256 -207.290267671633 -1089.03115923419 0.902554672244131
"TCGA.MP.A4TF" -1150.94089093688 138.135237402469 -1012.80565353442 0.897680560744123
"TCGA.67.4679" 411.876671928425 1079.1232469513 1490.99991887973 0.679402204775936
"TCGA.91.6836" -925.379989698055 -62.5085835813432 -987.888573279399 0.896062877342257
"TCGA.78.8648" 1891.27134728333 2301.21861551432 4192.48996279765 0.343273746381257
"TCGA.44.A47A" -162.337724528666 1300.24485719017 1137.9071326615 0.716503871323717
"TCGA.55.A57B" 265.444914409559 846.143345371009 1111.58825978057 0.719193494174424
"TCGA.55.8207" 983.86340195533 1130.3183345256 2114.18173648093 0.609533312213083
"TCGA.55.7576" 233.77954585648 747.993289227402 981.772835083882 0.732302002787644
"TCGA.NJ.A55O" -267.650650273825 834.854580009583 567.203929735757 0.772361213197035
"TCGA.55.A494" -1264.16683686363 -1059.36908430963 -2323.53592117325 0.96537503957674
"TCGA.95.7043" -605.421860048572 -676.694712498339 -1282.11657254691 0.914394212975742
"TCGA.L9.A443" 217.210183413724 409.742074652906 626.95225806663 0.766760790623007
"TCGA.69.7974" 493.424410196324 1467.03115928506 1960.45556948139 0.627265429450094
"TCGA.NJ.A4YG" 185.660317082665 989.725511193219 1175.38582827588 0.712655337829822
"TCGA.69.7760" -630.124161892086 -439.467717647442 -1069.59187953953 0.901322369866034
"TCGA.49.4486" -1422.46702457503 -336.126655276968 -1758.593679852 0.940449521682994
"TCGA.93.A4JN" 142.320881435625 627.970441768809 770.291323204434 0.753085472133536
"TCGA.86.8073" 343.745060137523 486.485500302001 830.230560439524 0.747267741252706
